created_year,created_month,rhel_major,syscount
2023,3,7,4637
2023,3,8,134216
2023,3,9,14885
2023,3,,17
2023,4,7,5665
2023,4,8,141434
2023,4,9,15690
2023,4,,17
2023,5,7,3284
2023,5,8,160282
2023,5,9,17696
2023,5,,17
2023,6,7,3629
2023,6,8,168947
2023,6,9,20388
2023,6,,21
2023,7,7,3582
2023,7,8,170310
2023,7,9,21884
2023,7,,15
2023,8,7,3686
2023,8,8,204172
2023,8,9,26637
2023,8,,1
2023,9,7,3562
2023,9,8,187481
2023,9,9,27621
2023,10,7,3588
2023,10,8,172254
2023,10,9,29320
2023,11,7,3573
2023,11,8,181572
2023,11,9,31880
2023,12,7,3368
2023,12,8,166306
2023,12,9,30158
2024,1,-1,1
2024,1,7,3371
2024,1,8,185891
2024,1,9,34554
2024,2,-1,1
2024,2,7,3267
2024,2,8,183703
2024,2,9,39120
2024,3,-1,1
2024,3,7,3199
2024,3,8,158686
2024,3,9,35841
